Id,SalePrice
1461,119508.8858
1462,154090.9928
1463,174621.8116
1464,175868.9829
1465,225645.1495
1466,167583.2201
1467,161900.2119
1468,153758.4703
1469,228769.6761
1470,110702.7315
1471,161740.1716
1472,94513.14163
1473,93254.2856
1474,144141.4054
1475,116731.27
1476,362842.3403
1477,247758.414
1478,318001.315
1479,315159.4798
1480,466948.611
1481,331207.5821
1482,219402.0238
1483,166483.264
1484,173903.7132
1485,183131.318
1486,189933.0902
1487,339808.5078
1488,239000.0066
1489,198117.0445
1490,255079.2415
1491,191897.0606
1492,108115.847
1493,214727.9331
1494,294082.2115
1495,301512.7921
1496,244849.258
1497,177907.576
1498,170919.8968
1499,157386.4333
1500,150082.6108
1501,170538.8235
1502,153080.0224
1503,279669.8017
1504,251264.4972
1505,235621.9494
1506,197352.5496
1507,240614.9933
1508,198794.0405
1509,160250.6368
1510,135454.7787
1511,145327.1333
1512,159141.6382
1513,158605.429
1514,137491.5245
1515,210698.0251
1516,155300.8974
1517,175822.6742
1518,134644.5454
1519,200946.3636
1520,129327.4524
1521,129048.5229
1522,175107.4391
1523,106625.5348
1524,124356.6029
1525,113361.1588
1526,117042.5096
1527,109065.8837
1528,131398.2591
1529,131520.4876
1530,198989.2637
1531,148349.3882
1532,99701.78041
1533,140113.1001
1534,114251.4592
1535,137300.9435
1536,104898.4881
1537,58949.16103
1538,141176.6587
1539,207315.7008
1540,138753.1763
1541,132620.3303
1542,149358.7998
1543,189953.5738
1544,80998.79149
1545,128567.9789
1546,140494.5266
1547,143811.4874
1548,144720.2076
1549,118329.7959
1550,146693.8641
1551,125988.8445
1552,148357.267
1553,126983.2718
1554,108406.4895
1555,182156.5779
1556,105901.3508
1557,81233.73735
1558,72279.89913
1559,115316.4973
1560,134599.6487
1561,97366.51527
1562,122849.8526
1563,122178.6703
1564,156853.6202
1565,144183.848
1566,247939.571
1567,76667.79533
1568,212126.1316
1569,136262.7695
1570,149132.549
1571,121414.1206
1572,141920.5069
1573,244289.0267
1574,136595.9126
1575,246558.8003
1576,216853.1332
1577,193529.2325
1578,143833.7183
1579,149091.4458
1580,195980.4792
1581,153087.7812
1582,139033.5252
1583,263600.5347
1584,220964.2123
1585,133265.6441
1586,49279.588
1587,106288.2896
1588,177218.8454
1589,83633.51087
1590,135943.0753
1591,88457.14334
1592,117323.6104
1593,111884.1126
1594,125934.1934
1595,125237.3463
1596,253409.1179
1597,193979.2374
1598,212661.2876
1599,210267.5546
1600,193524.6508
1601,51376.30957
1602,126780.8841
1603,84485.36561
1604,289372.9511
1605,227414.4085
1606,140627.6215
1607,177136.7928
1608,204042.1233
1609,170156.3085
1610,137654.5193
1611,140810.9226
1612,194299.3264
1613,151508.5665
1614,150038.4709
1615,79630.87671
1616,65508.85219
1617,78264.00751
1618,113433.9966
1619,116540.3114
1620,171151.7698
1621,127567.3066
1622,144260.9392
1623,270443.8344
1624,199658.0719
1625,119899.2902
1626,158818.3581
1627,177692.8487
1628,294334.4873
1629,192019.0131
1630,361315.9753
1631,276993.3479
1632,261213.6646
1633,183556.0898
1634,191346.7786
1635,174903.3267
1636,154039.655
1637,192154.705
1638,197234.7433
1639,172719.0608
1640,248628.8907
1641,186997.0415
1642,246465.9444
1643,235536.8664
1644,248102.6946
1645,192475.9534
1646,149130.9162
1647,163342.4325
1648,126437.8719
1649,133018.6991
1650,110852.1332
1651,110852.1332
1652,99071.25394
1653,95144.64917
1654,159929.2796
1655,151259.7582
1656,150611.0845
1657,159929.2796
1658,161511.4232
1659,126892.2245
1660,148749.5902
1661,417508.3674
1662,369722.9379
1663,391036.9347
1664,470022.6623
1665,342934.2337
1666,358996.6867
1667,353187.4849
1668,365984.7606
1669,316458.2329
1670,365470.4006
1671,261426.7738
1672,372060.787
1673,287424.2454
1674,256056.7171
1675,201834.1349
1676,203760.674
1677,206123.3524
1678,458773.448
1679,376079.4402
1680,334241.1248
1681,285645.5274
1682,344169.0389
1683,191734.4065
1684,170449.5909
1685,173376.4219
1686,181931.8528
1687,168581.0742
1688,183187.9818
1689,183544.963
1690,190244.0186
1691,180320.6553
1692,272999.0646
1693,181814.3426
1694,174376.1288
1695,161819.1162
1696,246648.0216
1697,155612.5652
1698,341580.3631
1699,317855.9533
1700,279221.7475
1701,299608.409
1702,250058.1519
1703,242384.5654
1704,276060.0924
1705,281435.2626
1706,435709.5851
1707,241217.7479
1708,208965.6212
1709,260692.3625
1710,244921.779
1711,285278.0881
1712,248678.2002
1713,249910.9129
1714,235341.1867
1715,225491.8343
1716,172316.938
1717,182139.6417
1718,135819.2492
1719,227257.5224
1720,229912.1743
1721,165426.6383
1722,123215.1961
1723,155716.3316
1724,193265.9233
1725,235691.7127
1726,195104.2736
1727,138310.5855
1728,174401.5635
1729,151790.4425
1730,160184.0918
1731,116086.2764
1732,134072.0623
1733,118831.5689
1734,120609.3584
1735,128651.6488
1736,107686.784
1737,327872.6886
1738,255711.8895
1739,269633.687
1740,192194.6754
1741,180505.8005
1742,170538.8235
1743,177989.2226
1744,338653.1914
1745,238359.8371
1746,275409.4696
1747,222852.4819
1748,219796.9589
1749,162597.8806
1750,154256.6649
1751,234222.7543
1752,110948.1496
1753,151170.4159
1754,203112.2783
1755,173724.0989
1756,112215.0991
1757,110842.8983
1758,150363.4878
1759,179248.9085
1760,155294.925
1761,143622.7062
1762,190953.8236
1763,194712.0673
1764,113223.9446
1765,184809.9554
1766,164949.7904
1767,184134.4979
1768,139138.559
1769,172751.3171
1770,138781.4766
1771,128573.0088
1772,141708.917
1773,126711.8207
1774,149871.4625
1775,136006.7811
1776,127241.3048
1777,104349.6723
1778,135089.2905
1779,130640.2306
1780,168855.8889
1781,131472.4722
1782,66514.51423
1783,114781.5637
1784,78109.90879
1785,102156.7839
1786,174694.4491
1787,161704.2688
1788,11678.71163
1789,81835.6399
1790,60865.18169
1791,197793.569
1792,151633.7169
1793,133631.975
1794,148850.9004
1795,131940.6568
1796,153305.4749
1797,131629.2127
1798,112413.4763
1799,102954.5734
1800,138767.9035
1801,118024.7427
1802,145116.942
1803,160231.8259
1804,114783.1782
1805,135477.5183
1806,114143.4966
1807,120827.1303
